group_id,size_docs,top_terms
0,1836,"education, chile, students, teachers, school, we, social, their, study, educational, learning, chilean, teacher, between, research, teaching, results, analysis, academic, which"
1,202,"transport, covid, 19, covid 19, we, public, pandemic, public transport, older, social, chile, health, physical, travel, bus, drivers, study, urban, care, their"
3,123,"law, criminal, legal, civil, process, article, rights, which, between, judicial, analysis, cases, constitutional, keywords abstract, court, right, chilean, due, paper, procedural"
4,44,"populism, parties, party, portugal, political, populist, governance, local, patronage, capacity, youth, government, different, international, we, which, social, their, article, development"
2,34,"ai, journalists, news, journalism, media, audience, online, metrics, we, whatsapp, digital, journalistic, social, their, how, have, audience metrics, they, use, editorial"
